日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(木),0,0,0,0,0,0,0,0
2日(金),0,0,0,0,0,0,0,0
3日(土),0,0,0,0,0,0,0,0
4日(日),0,0,0,0,0,0,0,0
5日(月),0,0,0,0,0,0,0,0
6日(火),0,0,0,0,0,0,0,0
7日(水),296,32,84,180,0,0,10.8,39.2
8日(木),0,0,0,0,0,0,0,0
9日(金),190,28,50,112,0,0,14.7,41.1
10日(土),236,26,58,152,0,0,11.0,35.6
11日(日),0,0,0,0,0,0,0,0
12日(月),270,41,80,149,0,0,15.2,44.8
13日(火),152,30,48,74,0,0,19.7,51.3
14日(水),210,24,76,110,0,0,11.4,47.6
15日(木),0,0,0,0,0,0,0,0
16日(金),178,26,46,106,0,0,14.6,40.4
17日(土),189,24,56,109,0,0,12.7,42.3
18日(日),0,0,0,0,0,0,0,0
19日(月),258,44,85,129,0,0,17.1,50.0
20日(火),150,38,49,63,0,0,25.3,58.0
21日(水),234,45,70,119,0,0,19.2,49.1
22日(木),0,0,0,0,0,0,0,0
23日(金),166,25,43,98,0,0,15.1,41.0
24日(土),204,20,46,138,0,0,9.8,32.4
25日(日),0,0,0,0,0,0,0,0
26日(月),267,40,85,142,0,0,15.0,46.8
27日(火),162,30,60,72,0,0,18.5,55.6
28日(水),196,25,53,118,0,0,12.8,39.8
29日(木),0,0,0,0,0,0,0,0
30日(金),157,25,56,76,0,0,15.9,51.6
31日(土),170,26,56,88,0,0,15.3,48.2
総数,3685,549,1101,2035,0,0,14.9,44.8
平均,204.7,30.5,61.2,113.1,0.0,0.0,14.9,44.8
前月,4137,500,1032,2605,0,0,12.1,37.0
前月比,89.1,109.8,106.7,78.1,0.0,0.0,123.3,120.9
前年同月,4301,784,1067,2450,0,0,18.2,43.0
前年同月比,85.7,70.0,103.2,83.1,0.0,0.0,81.7,104.0
