月,総診療報酬 (点),レセ単価 (点),レセ枚数 (枚),初診 (点),再診 (点),管理 (点),在宅 (点),投薬 (点),注射 (点),処置 (点),手術 (点),麻酔 (点),検査 (点),画像 (点),リハ (点),精神 (点),療担 (点),病理･他 (点)
1月,2030461,707,2873,172,58,135,25,59,0,46,15,0,180,11,0,0,0,5
2月,2216572,686,3233,160,59,158,23,57,6,44,15,0,148,10,0,0,0,5
3月,2760516,646,4276,160,64,143,18,60,8,36,9,0,139,5,0,0,0,5
4月,2156309,656,3287,122,75,158,24,55,19,34,7,0,154,5,0,0,0,4
5月,2045361,675,3028,148,63,143,28,48,4,44,11,0,169,13,0,0,0,5
6月,1999962,709,2822,153,65,156,29,51,4,44,16,0,174,12,0,0,0,5
7月,1914119,720,2659,161,62,158,36,52,0,40,17,0,178,11,0,0,0,5
8月,1740761,701,2482,158,61,152,40,51,5,36,15,0,171,9,0,0,0,5
9月,1928776,710,2717,157,64,170,36,51,4,36,9,0,167,10,0,0,0,5
10月,2055567,692,2972,160,63,173,35,53,4,39,6,0,146,8,0,0,0,5
11月,2131167,705,3025,162,64,151,34,58,4,45,8,0,169,6,0,0,0,5
12月,1988530,709,2804,156,66,138,37,57,4,44,17,0,173,13,0,0,0,5
総数,24968101,690,36178,156,64,152,30,55,5,40,12,0,162,9,0,0,0,5
前年,24430357,675,36211,147,62,173,21,58,6,42,8,0,145,11,0,0,0,3
前年比,102,102,100,106,103,88,143,95,83,95,150,0,112,82,0,0,0,167
